,AU01_r,AU01_r,AU01_r,AU02_r,AU02_r,AU02_r,AU04_r,AU04_r,AU04_r,AU05_r,AU05_r,AU05_r,AU06_r,AU06_r,AU06_r,AU07_r,AU07_r,AU07_r,AU09_r,AU09_r,AU09_r,AU10_r,AU10_r,AU10_r,AU12_r,AU12_r,AU12_r,AU14_r,AU14_r,AU14_r,AU15_r,AU15_r,AU15_r,AU17_r,AU17_r,AU17_r,AU20_r,AU20_r,AU20_r,AU23_r,AU23_r,AU23_r,AU25_r,AU25_r,AU25_r,AU26_r,AU26_r,AU26_r,AU45_r,AU45_r,AU45_r
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
emotion_label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
happy,0.4445,0.7367,31,0.1284,0.2532,31,0.0271,0.062,31,0.041,0.0872,31,1.0742,0.7182,31,0.5442,0.4892,31,0.1913,0.2362,31,1.0706,0.591,31,1.5835,0.7883,31,1.0135,0.6704,31,0.0332,0.0741,31,0.31,0.2886,31,0.2761,0.2617,31,0.2058,0.3,31,1.1813,0.8832,31,0.439,0.3456,31,0.1316,0.1477,31
sad,0.6023,0.6987,31,0.171,0.2788,31,0.1219,0.1521,31,0.1229,0.2498,31,0.1187,0.2408,31,0.1161,0.162,31,0.0545,0.0888,31,0.149,0.1833,31,0.0884,0.1736,31,0.1871,0.3021,31,0.3468,0.3594,31,1.081,0.5668,31,0.1432,0.2476,31,0.1426,0.1647,31,0.2561,0.3215,31,0.4981,0.5193,31,0.2006,0.1738,31
